module name;licenses;repository;licenseUrl;parents
autoprefixer@6.7.7;MIT;https://github.com/postcss/autoprefixer;https://github.com/postcss/autoprefixer/raw/master/LICENSE;gui.ajax
aws-sign2@0.6.0;Apache-2.0;https://github.com/mikeal/aws-sign;https://github.com/mikeal/aws-sign/raw/master/LICENSE;fsevents:meta.exif
aws4@1.3.2;MIT;https://github.com/mhart/aws4;https://github.com/mhart/aws4/raw/master/LICENSE;request:less:assemble-less:access.ajxp_home
aws4@1.4.1;MIT;https://github.com/mhart/aws4;https://github.com/mhart/aws4/raw/master/LICENSE;request:less:assemble-less:action.ajxp_user
aws4@1.6.0;MIT;https://github.com/mhart/aws4;https://github.com/mhart/aws4/raw/master/LICENSE;fsevents:meta.exif
babel-code-frame@6.22.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-code-frame;https://github.com/babel/babel/tree/master/packages/babel-code-frame;babel-core:grunt-babel:meta.simple_lock
babel-core@5.8.35;MIT;https://github.com/babel/babel;https://github.com/babel/babel;grunt-babel:core.mailer
babel-core@5.8.38;MIT;https://github.com/babel/babel;https://github.com/babel/babel;grunt-babel:uploader.plupload
babel-core@6.23.1;MIT;https://github.com/babel/babel/tree/master/packages/babel-core;https://github.com/babel/babel/tree/master/packages/babel-core;grunt-babel:meta.simple_lock
babel-generator@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-generator;https://github.com/babel/babel/tree/master/packages/babel-generator;babel-core:grunt-babel:meta.simple_lock
babel-helpers@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-helpers;https://github.com/babel/babel/tree/master/packages/babel-helpers;babel-core:grunt-babel:meta.simple_lock
babel-messages@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-messages;https://github.com/babel/babel/tree/master/packages/babel-messages;babel-core:grunt-babel:meta.simple_lock
babel-plugin-constant-folding@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-constant-folding;https://github.com/babel-plugins/babel-plugin-constant-folding;babel-core:grunt-babel:uploader.plupload
babel-plugin-dead-code-elimination@1.0.2;MIT;https://github.com/babel-plugins/babel-plugin-dead-code-elimination;https://github.com/babel-plugins/babel-plugin-dead-code-elimination;babel-core:grunt-babel:uploader.plupload
babel-plugin-eval@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-eval;https://github.com/babel-plugins/babel-plugin-eval;babel-core:grunt-babel:uploader.plupload
babel-plugin-inline-environment-variables@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-inline-environment-variables;https://github.com/babel-plugins/babel-plugin-inline-environment-variables;babel-core:grunt-babel:uploader.plupload
babel-plugin-jscript@1.0.4;MIT;https://github.com/babel-plugins/babel-plugin-jscript;https://github.com/babel-plugins/babel-plugin-jscript;babel-core:grunt-babel:uploader.plupload
babel-plugin-member-expression-literals@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-member-expression-literals;https://github.com/babel-plugins/babel-plugin-member-expression-literals;babel-core:grunt-babel:uploader.plupload
babel-plugin-property-literals@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-property-literals;https://github.com/babel-plugins/babel-plugin-property-literals;babel-core:grunt-babel:uploader.plupload
babel-plugin-proto-to-assign@1.0.4;MIT;https://github.com/babel-plugins/babel-plugin-proto-to-assign;https://github.com/babel-plugins/babel-plugin-proto-to-assign;babel-core:grunt-babel:uploader.plupload
babel-plugin-react-constant-elements@1.0.3;MIT;https://github.com/babel-plugins/babel-plugin-react-constant-elements;https://github.com/babel-plugins/babel-plugin-react-constant-elements;babel-core:grunt-babel:uploader.plupload
babel-plugin-react-display-name@1.0.3;MIT;https://github.com/babel-plugins/babel-plugin-react-display-name;https://github.com/babel-plugins/babel-plugin-react-display-name;babel-core:grunt-babel:uploader.plupload
babel-plugin-remove-console@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-remove-console;https://github.com/babel-plugins/babel-plugin-remove-console;babel-core:grunt-babel:uploader.plupload
babel-plugin-remove-debugger@1.0.1;MIT;https://github.com/babel-plugins/babel-plugin-remove-debugger;https://github.com/babel-plugins/babel-plugin-remove-debugger;babel-core:grunt-babel:uploader.plupload
babel-plugin-runtime@1.0.7;MIT;https://github.com/babel-plugins/babel-plugin-runtime;https://github.com/babel-plugins/babel-plugin-runtime;babel-core:grunt-babel:uploader.plupload
babel-plugin-undeclared-variables-check@1.0.2;MIT;https://github.com/babel-plugins/babel-plugin-undeclared-variables-check;https://github.com/babel-plugins/babel-plugin-undeclared-variables-check;babel-core:grunt-babel:uploader.plupload
babel-plugin-undefined-to-void@1.1.6;MIT;https://github.com/babel-plugins/babel-plugin-undefined-to-void;https://github.com/babel-plugins/babel-plugin-undefined-to-void;babel-core:grunt-babel:uploader.plupload
babel-register@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-register;https://github.com/babel/babel/tree/master/packages/babel-register;babel-core:grunt-babel:meta.simple_lock
babel-runtime@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-runtime;https://github.com/babel/babel/tree/master/packages/babel-runtime;babel-core:grunt-babel:meta.simple_lock
babel-template@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-template;https://github.com/babel/babel/tree/master/packages/babel-template;babel-core:grunt-babel:meta.simple_lock
babel-traverse@6.23.1;MIT;https://github.com/babel/babel/tree/master/packages/babel-traverse;https://github.com/babel/babel/tree/master/packages/babel-traverse;babel-core:grunt-babel:meta.simple_lock
babel-types@6.23.0;MIT;https://github.com/babel/babel/tree/master/packages/babel-types;https://github.com/babel/babel/tree/master/packages/babel-types;babel-core:grunt-babel:meta.simple_lock
babylon@5.8.35;MIT;https://github.com/babel/babel;https://github.com/babel/babel/raw/master/LICENSE;babel-core:grunt-babel:core.mailer
babylon@5.8.38;MIT;https://github.com/babel/babel;https://github.com/babel/babel/raw/master/LICENSE;babel-core:grunt-babel:uploader.plupload
babylon@6.15.0;MIT;https://github.com/babel/babylon;https://github.com/babel/babylon/raw/master/LICENSE;babel-core:grunt-babel:meta.simple_lock
balanced-match@0.3.0;MIT;https://github.com/juliangruber/balanced-match;https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md;brace-expansion:minimatch:babel-core:grunt-babel:core.mailer
balanced-match@0.4.1;MIT;https://github.com/juliangruber/balanced-match;https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md;brace-expansion:minimatch:babel-core:grunt-babel:core.tasks
balanced-match@0.4.2;MIT;https://github.com/juliangruber/balanced-match;https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md;brace-expansion:minimatch:babel-core:grunt-babel:uploader.plupload
base62@0.1.1;UNKNOWN;https://github.com/andrew/base62.js;https://github.com/andrew/base62.js/raw/master/LICENSE;gui.ajax
base64-js@0.0.8;MIT;https://github.com/beatgammit/base64-js;https://github.com/beatgammit/base64-js/raw/master/LICENSE.MIT;meta.exif
base64-js@1.2.0;MIT;https://github.com/beatgammit/base64-js;https://github.com/beatgammit/base64-js/raw/master/LICENSE;watchify:meta.exif
binary-extensions@1.8.0;MIT;https://github.com/sindresorhus/binary-extensions;https://github.com/sindresorhus/binary-extensions/raw/master/license;meta.exif
bl@1.0.3;MIT;https://github.com/rvagg/bl;https://github.com/rvagg/bl/raw/master/LICENSE.md;request:less:assemble-less:access.ajxp_home
bl@1.1.2;MIT;https://github.com/rvagg/bl;https://github.com/rvagg/bl/raw/master/LICENSE.md;request:less:assemble-less:action.ajxp_user
block-stream@0.0.9;ISC;https://github.com/isaacs/block-stream;https://github.com/isaacs/block-stream/raw/master/LICENCE;fsevents:meta.exif
bluebird@2.10.2;MIT;https://github.com/petkaantonov/bluebird;https://github.com/petkaantonov/bluebird/raw/master/LICENSE;babel-core:grunt-babel:core.tasks
bluebird@2.11.0;MIT;https://github.com/petkaantonov/bluebird;https://github.com/petkaantonov/bluebird/raw/master/LICENSE;babel-core:grunt-babel:uploader.plupload
bn.js@4.11.6;MIT;https://github.com/indutny/bn.js;https://github.com/indutny/bn.js;meta.exif
body-parser@1.14.2;MIT;https://github.com/expressjs/body-parser;https://github.com/expressjs/body-parser/raw/master/LICENSE;meta.watch
boom@2.10.1;BSD-3-Clause;https://github.com/hapijs/boom;https://github.com/hapijs/boom/raw/master/LICENSE;fsevents:meta.exif
bowser@1.6.1;MIT;https://github.com/ded/bowser;https://github.com/ded/bowser/raw/master/LICENSE;gui.ajax
brace-expansion@1.1.3;MIT;https://github.com/juliangruber/brace-expansion;https://github.com/juliangruber/brace-expansion;minimatch:babel-core:grunt-babel:core.mailer
brace-expansion@1.1.4;MIT;https://github.com/juliangruber/brace-expansion;https://github.com/juliangruber/brace-expansion;minimatch:babel-core:grunt-babel:core.tasks
brace-expansion@1.1.6;MIT;https://github.com/juliangruber/brace-expansion;https://github.com/juliangruber/brace-expansion;minimatch:babel-core:grunt-babel:uploader.plupload
brace-expansion@1.1.7;MIT;https://github.com/juliangruber/brace-expansion;https://github.com/juliangruber/brace-expansion;meta.watch
braces@1.8.5;MIT;https://github.com/jonschlinkert/braces;https://github.com/jonschlinkert/braces/raw/master/LICENSE;meta.exif
breakable@1.0.0;MIT;https://github.com/olov/breakable;https://github.com/olov/breakable/raw/master/LICENSE;defs:regenerator:babel-core:grunt-babel:uploader.plupload
brorand@1.1.0;MIT;https://github.com/indutny/brorand;https://github.com/indutny/brorand;meta.exif
browser-pack@5.0.1;MIT;https://github.com/substack/browser-pack;https://github.com/substack/browser-pack/raw/master/LICENSE;meta.exif
browser-pack@6.0.2;MIT;https://github.com/substack/browser-pack;https://github.com/substack/browser-pack/raw/master/LICENSE;watchify:meta.exif
browser-resolve@1.11.2;MIT;https://github.com/shtylman/node-browser-resolve;https://github.com/shtylman/node-browser-resolve/raw/master/LICENSE;meta.exif
browserify-aes@1.0.6;MIT;https://github.com/crypto-browserify/browserify-aes;https://github.com/crypto-browserify/browserify-aes/raw/master/LICENSE;meta.exif
browserify-cipher@1.0.0;MIT;https://github.com/crypto-browserify/browserify-cipher;https://github.com/crypto-browserify/browserify-cipher;meta.exif
browserify-des@1.0.0;MIT;https://github.com/crypto-browserify/browserify-des;https://github.com/crypto-browserify/browserify-des;meta.exif
browserify-rsa@4.0.1;MIT;https://github.com/crypto-browserify/browserify-rsa;https://github.com/crypto-browserify/browserify-rsa/raw/master/LICENSE;meta.exif
browserify-sign@4.0.0;ISC;https://github.com/crypto-browserify/browserify-sign;https://github.com/crypto-browserify/browserify-sign/raw/master/LICENSE;crypto-browserify:browserify:grunt-browserify:gui.mobile
browserify-sign@4.0.4;ISC;https://github.com/crypto-browserify/browserify-sign;https://github.com/crypto-browserify/browserify-sign/raw/master/LICENSE;meta.exif
browserify-zlib@0.1.4;MIT;https://github.com/devongovett/browserify-zlib;https://github.com/devongovett/browserify-zlib;meta.exif
browserify@11.2.0;MIT;https://github.com/substack/node-browserify;https://github.com/substack/node-browserify/raw/master/LICENSE;meta.exif
browserify@13.3.0;MIT;https://github.com/substack/node-browserify;https://github.com/substack/node-browserify/raw/master/LICENSE;action.ajxp_user
browserify@14.1.0;MIT;https://github.com/substack/node-browserify;https://github.com/substack/node-browserify/raw/master/LICENSE;watchify:grunt-browserify:gui.mobile
browserify@14.3.0;MIT;https://github.com/substack/node-browserify;https://github.com/substack/node-browserify/raw/master/LICENSE;watchify:meta.exif
browserslist@1.3.0;MIT;https://github.com/ai/browserslist;https://github.com/ai/browserslist/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:access.ajxp_home
browserslist@1.3.6;MIT;https://github.com/ai/browserslist;https://github.com/ai/browserslist/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:action.ajxp_user
browserslist@1.7.5;MIT;https://github.com/ai/browserslist;https://github.com/ai/browserslist/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:action.ajxp_user
browserslist@1.7.6;MIT;https://github.com/ai/browserslist;https://github.com/ai/browserslist/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:action.cart
browserslist@1.7.7;MIT;https://github.com/ai/browserslist;https://github.com/ai/browserslist/raw/master/LICENSE;gui.ajax
buffer-shims@1.0.0;MIT;https://github.com/calvinmetcalf/buffer-shims;https://github.com/calvinmetcalf/buffer-shims/raw/master/license.md;meta.exif
buffer-xor@1.0.3;MIT;https://github.com/crypto-browserify/buffer-xor;https://github.com/crypto-browserify/buffer-xor/raw/master/LICENSE;meta.exif
buffer@3.6.0;MIT;https://github.com/feross/buffer;https://github.com/feross/buffer/raw/master/LICENSE;meta.exif
buffer@4.9.1;MIT;https://github.com/feross/buffer;https://github.com/feross/buffer/raw/master/LICENSE;action.ajxp_user
buffer@5.0.5;MIT;https://github.com/feross/buffer;https://github.com/feross/buffer/raw/master/LICENSE;browserify:watchify:grunt-browserify:gui.mobile
buffer@5.0.6;MIT;https://github.com/feross/buffer;https://github.com/feross/buffer/raw/master/LICENSE;watchify:meta.exif
builtin-modules@1.1.1;MIT;https://github.com/sindresorhus/builtin-modules;https://github.com/sindresorhus/builtin-modules/raw/master/license;is-builtin-module:normalize-package-data:meow:dateformat:grunt:meta.simple_lock
builtin-status-codes@1.0.0;MIT;https://github.com/bendrucker/builtin-status-codes;https://github.com/bendrucker/builtin-status-codes/raw/master/license;meta.exif
builtin-status-codes@3.0.0;MIT;https://github.com/bendrucker/builtin-status-codes;https://github.com/bendrucker/builtin-status-codes/raw/master/license;watchify:meta.exif
builtins@0.0.7;MIT;https://github.com/juliangruber/builtins;https://github.com/juliangruber/builtins;meta.exif
bytes@2.2.0;MIT;https://github.com/visionmedia/bytes.js;https://github.com/visionmedia/bytes.js/raw/master/LICENSE;meta.watch
bytes@2.4.0;MIT;https://github.com/visionmedia/bytes.js;https://github.com/visionmedia/bytes.js/raw/master/LICENSE;raw-body:meta.watch
cached-path-relative@1.0.1;MIT;https://github.com/ashaffer/cached-path-relative;https://github.com/ashaffer/cached-path-relative;meta.exif
camelcase-keys@2.1.0;MIT;https://github.com/sindresorhus/camelcase-keys;https://github.com/sindresorhus/camelcase-keys/raw/master/license;meow:dateformat:grunt:meta.simple_lock
camelcase@1.2.1;MIT;https://github.com/sindresorhus/camelcase;https://github.com/sindresorhus/camelcase/raw/master/license;yargs:defs:regenerator:babel-core:grunt-babel:uploader.plupload
camelcase@2.1.1;MIT;https://github.com/sindresorhus/camelcase;https://github.com/sindresorhus/camelcase/raw/master/license;camelcase-keys:meow:dateformat:grunt:meta.simple_lock
caniuse-db@1.0.30000436;CC-BY-4.0;https://github.com/Fyrd/caniuse;https://github.com/Fyrd/caniuse;autoprefixer:less-plugin-autoprefix:access.ajxp_home
caniuse-db@1.0.30000528;CC-BY-4.0;https://github.com/Fyrd/caniuse;https://github.com/Fyrd/caniuse/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:action.ajxp_user
caniuse-db@1.0.30000631;CC-BY-4.0;https://github.com/Fyrd/caniuse;https://github.com/Fyrd/caniuse/raw/master/LICENSE;autoprefixer:less-plugin-autoprefix:action.ajxp_user
